ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2021-12-29T02:35:47Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",522,BR,177.51.2.168,unknown,Se For Amor,João Gomes,Eu Tenho a Senha,spotify:track:5F2xRvRFkxDvqdFtUNAEyw,,,,fwdbtn,fwdbtn,true,,false,1640745344737,false
2021-12-29T02:35:48Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",80,BR,177.51.2.168,unknown,Espumas ao Vento,Fagner,Terral,spotify:track:1DcKuTqFYTYTTERUwTeEUS,,,,fwdbtn,fwdbtn,true,,false,1640745345802,false
2021-12-29T02:35:50Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",361,BR,177.51.2.168,unknown,Eu Tenho a Senha,João Gomes,Eu Tenho a Senha,spotify:track:2YBKO08Wkc3eP5JdUSwng8,,,,fwdbtn,fwdbtn,true,,false,1640745346815,false
2021-12-29T02:35:52Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",376,BR,177.51.2.168,unknown,Seu Amor Ainda é Tudo - Ao Vivo,Bruno & Marrone,Acústico - Ao Vivo,spotify:track:0PvbcgACEKgxA6UVIu0GmN,,,,fwdbtn,fwdbtn,true,,false,1640745348155,false
2021-12-29T02:35:53Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",0,BR,177.51.2.168,unknown,Evidências,Chitãozinho & Xororó,Do Tamanho do Nosso Amor,spotify:track:1X95pCQG939KCbJL6yVQgw,,,,fwdbtn,fwdbtn,true,,false,1640745350008,false
2021-12-29T02:35:54Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",0,BR,177.51.2.168,unknown,Se Essa Bunda,Costa Gold,Se Essa Bunda,spotify:track:7gMWTBRgB5CZdNDSuweCyr,,,,fwdbtn,fwdbtn,true,,false,1640745351128,false
2021-12-29T02:35:56Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",82,BR,177.51.2.168,unknown,Fun Tonight - Pabllo Vittar Remix,Lady Gaga,Dawn Of Chromatica,spotify:track:70FhY7hwautR5xB1qnHzVn,,,,fwdbtn,fwdbtn,true,,false,1640745352573,false
2021-12-29T02:36:29Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",32958,BR,177.51.2.168,unknown,Filho do Mato,Raí Saia Rodada,Filho do Mato,spotify:track:6cvFwzez8ZbEWPTs5A0vAm,,,,fwdbtn,fwdbtn,true,,false,1640745354165,false
2021-12-29T02:36:31Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",2111,BR,177.51.2.168,unknown,Space Oddity - 2015 Remaster,David Bowie,David Bowie (aka Space Oddity),spotify:track:72Z17vmmeQKAg8bptWvpVG,,,,fwdbtn,fwdbtn,true,,false,1640745387426,false
2021-12-29T02:36:33Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",1677,BR,177.51.2.168,unknown,Amor Marginal,Johnny Hooker,"Eu Vou Fazer uma Macumba Pra Te Amarrar, Maldito!",spotify:track:7uSdpAkxgB0948bW7yjjJO,,,,fwdbtn,fwdbtn,true,,false,1640745389596,false
2021-12-29T02:36:35Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",1752,BR,177.51.2.168,unknown,Meu Pedaço de Pecado,João Gomes,Eu Tenho a Senha,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,,,,fwdbtn,fwdbtn,true,,false,1640745391521,false
2021-12-29T02:36:37Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",1244,BR,177.51.2.168,unknown,Chorando se Foi,Kaoma,Festa PLOC 80's 2 (ao vivo),spotify:track:1zKnBp3H2Vz38zzS5lCLU2,,,,fwdbtn,fwdbtn,true,,false,1640745393596,false
2021-12-29T02:36:38Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",1181,BR,177.51.2.168,unknown,Trem das Onze,Grupo Fundo De Quintal,Vou Festejar,spotify:track:0YTjxhBtk2aODrusQLNYOw,,,,fwdbtn,backbtn,true,,false,1640745395125,false
2021-12-29T02:39:47Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",188012,BR,177.51.2.168,unknown,Chorando se Foi,Kaoma,Festa PLOC 80's 2 (ao vivo),spotify:track:1zKnBp3H2Vz38zzS5lCLU2,,,,backbtn,trackdone,true,,false,1640745396711,false
2021-12-29T02:46:04Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",115826,BR,177.51.2.168,unknown,Trem das Onze,Grupo Fundo De Quintal,Vou Festejar,spotify:track:0YTjxhBtk2aODrusQLNYOw,,,,trackdone,trackdone,true,,false,1640745584230,false
2021-12-29T02:46:04Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",1933,BR,177.51.2.168,unknown,Ai Que Saudade D'Ocê,Elba Ramalho,O Grande Encontro II,spotify:track:69WUlAhRkKerjAxMdyaUlZ,,,,fwdbtn,fwdbtn,true,,false,1640745945553,false
2021-12-29T02:46:04Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",16910,BR,177.51.2.168,unknown,Fala Lá Pra Ela,Rosa Neon,Rosa Neon,spotify:track:5aTOYS7orRPTlc9DOa2CI6,,,,trackdone,fwdbtn,true,,false,1640745925699,false
2021-12-29T02:46:04Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",224493,BR,177.51.2.168,unknown,Planeta de Cores,Forrozão Tropykalia,"Campeões do Forró, Vol. 04",spotify:track:49YS6bn0NHAgPtQMWXWioG,,,,trackdone,trackdone,true,,false,1640745700563,false
2021-12-29T02:46:04Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",1468,BR,177.51.2.168,unknown,não passa vontade,ANAVITÓRIA,não passa vontade,spotify:track:1HbHUc3TamGVwXlcUolMej,,,,fwdbtn,fwdbtn,true,,false,1640745943950,false
2021-12-29T02:46:04Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",1208,BR,177.51.2.168,unknown,Meu Jeito de Amar,Mulú,Meu Jeito de Amar,spotify:track:08HdbdAWWqSyliHjMG6XmH,,,,fwdbtn,fwdbtn,true,,false,1640745947916,false
2021-12-29T02:50:36Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",239053,BR,177.51.2.168,unknown,Decida - Ao Vivo,Milionário & José Rico,"Milionário & José Rico, Vol. 29",spotify:track:3i1XHV1may58S4a8Jdog9v,,,,fwdbtn,trackdone,true,,false,1640745949637,false
2021-12-29T02:52:44Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",168658,BR,177.51.2.168,unknown,Amor de Rapariga,Raí Saia Rodada,Saudade Braba,spotify:track:1FM9CNCjobC3LSNEEKuPkd,,,,trackdone,trackdone,true,,false,1640746188220,false
2021-12-29T02:55:56Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",168658,BR,177.51.2.168,unknown,Amor de Rapariga,Raí Saia Rodada,Saudade Braba,spotify:track:1FM9CNCjobC3LSNEEKuPkd,,,,trackdone,trackdone,true,,false,1640746188220,false
2021-12-29T06:09:06Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",3782,BR,177.51.2.168,unknown,Vitoriosa,Liniker,Indigo Borboleta Anil,spotify:track:5iZcFNrK1dqcLb2AXPaZ8U,,,,trackdone,unexpected-exit-while-paused,true,,false,1640746357221,false
2021-12-29T06:15:30Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",332880,BR,187.115.177.146,unknown,I Want Wind to Blow,The Microphones,"The Glow, Pt. 2",spotify:track:1bAZV1EBTRi9t1cVg75i8t,,,,clickrow,trackdone,true,,false,1640758194744,false
2021-12-29T06:15:40Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",8309,BR,187.115.177.146,unknown,Eyes for Volume,The Microphones,Tests,spotify:track:1e3PgAtEUWiC3OELVl0ZHA,,,,trackdone,endplay,true,,false,1640758528388,false
2021-12-29T06:17:34Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",114626,BR,187.115.177.146,unknown,I Felt Your Shape,The Microphones,"The Glow, Pt. 2",spotify:track:1HTR2cbs7Nor722yzYQi63,,,,clickrow,trackdone,true,,false,1640758538359,false
2021-12-29T06:23:46Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",299207,BR,187.115.177.146,unknown,The Moon,The Microphones,"The Glow, Pt. 2",spotify:track:4pbEwQiDjPln3oYlijXuOE,,,,trackdone,endplay,true,,false,1640758652242,false
2021-12-29T06:23:49Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",0,BR,187.115.177.146,unknown,Now We Are Free,Hans Zimmer,Gladiator - Music From The Motion Picture,spotify:track:11IXRdEjiH0KL8nh4G1j7d,,,,playbtn,fwdbtn,true,,false,1640759024722,false
2021-12-29T06:32:16Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",499163,BR,187.115.177.146,unknown,Mäkikotka,Saimaa,Urheilu-Suomi,spotify:track:6kajW6Eefqg03GmtMMPMLQ,,,,fwdbtn,trackdone,true,,false,1640759027363,false
2021-12-29T06:32:24Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",6955,BR,187.115.177.146,unknown,Minecraft (2011) - Volume Alpha - Minecraft - Main Theme - Calm 1,Geek Music,"The Best Video Game Music, Vol. 2",spotify:track:0F3YGxdDmzjfWgb4cbrTl2,,,,trackdone,fwdbtn,true,,false,1640759534591,false
2021-12-29T06:35:40Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",196626,BR,187.115.177.146,unknown,Minor Swing,Django Reinhardt,Djangologie Vol6 / 1937,spotify:track:0NDjQezJaEC1KX9TfwEfzf,,,,fwdbtn,trackdone,true,,false,1640759542948,false
2021-12-29T06:35:49Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",7272,BR,187.115.177.146,unknown,孤独の発明,toe,the book about my idle plot on a vague anxiety,spotify:track:2RJuCZXtZYubzTW78kmaBx,,,,trackdone,fwdbtn,true,,false,1640759738601,false
2021-12-29T06:35:52Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",2041,BR,187.115.177.146,unknown,Atlantico,Roberto Cacciapaglia,Quarto tempo,spotify:track:288X66VR8m2GxApJBqZ4pb,,,,fwdbtn,fwdbtn,true,,false,1640759747556,false
2021-12-29T06:35:55Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",3940,BR,187.115.177.146,unknown,Bourée,Jethro Tull,"Repeat - The Best of Jethro Tull, Vol. II",spotify:track:3jNGLTOcA4a34rZD2y392C,,,,fwdbtn,fwdbtn,true,,false,1640759749836,false
2021-12-29T06:35:57Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",1288,BR,187.115.177.146,unknown,San Agustin,Vytas Brenner,Lo Maximo de Vytas Brenner,spotify:track:0ovpzWGu19SWEZoFpJyZjo,,,,fwdbtn,fwdbtn,true,,false,1640759754018,false
2021-12-29T06:36:05Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",8025,BR,187.115.177.146,unknown,Fine On The Outside,Priscilla Ahn,When Marnie Was There Song Album - Just Know That I Love You.,spotify:track:0muntSMuAZzcwYBBMZj6sf,,,,fwdbtn,fwdbtn,true,,false,1640759755623,false
2021-12-29T06:36:12Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",6133,BR,187.115.177.146,unknown,"Le Festin - From ""Ratatouille""/Soundtrack Version",Camille,Disney Box Office Hits,spotify:track:7t3pqWBCWF415rddNzYWSz,,,,fwdbtn,fwdbtn,true,,false,1640759764011,false
2021-12-29T06:36:14Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",1913,BR,187.115.177.146,unknown,Jungle Jazz,Kool & The Gang,Spirit Of The Boogie,spotify:track:4IZQ5wYvoUD1xvJsqNo3vg,,,,fwdbtn,fwdbtn,true,,false,1640759770252,false
2021-12-29T06:36:17Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",2291,BR,187.115.177.146,unknown,House of the Rising Sun,The Animals,The Singles Plus,spotify:track:4mn2kNTqiGLwaUR8JdhJ1l,,,,fwdbtn,fwdbtn,true,,false,1640759772461,false
2021-12-29T06:39:19Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",182950,BR,187.115.177.146,unknown,Aurora,brillion.,Bedtime Stories Pt. 2,spotify:track:3dsMce7p7FYwsxvHZQuaRP,,,,fwdbtn,trackdone,true,,false,1640759775150,false
2021-12-29T06:42:40Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",201324,BR,187.115.177.146,unknown,Old Friends,Darren Korb,Transistor Original Soundtrack,spotify:track:4zmT3KiW5UVfzGSIkYbs0y,,,,trackdone,trackdone,true,,false,1640759957306,false
2021-12-29T17:53:06Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",8725,BR,187.115.177.146,unknown,Theme From Jurassic Park,John Williams,Jurassic Park,spotify:track:2TZbQZXOuR8osP2AK8yYMN,,,,trackdone,logout,true,,false,1640760159036,false
2021-12-29T17:56:58Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",174000,BR,177.51.2.168,unknown,Watermelon Sugar,Harry Styles,Adore You,spotify:track:17OkYffr0SdAcpcbwMkDDG,,,,clickrow,trackdone,true,,false,1640800439644,false
2021-12-29T18:02:03Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",304200,BR,177.51.2.168,unknown,Shiver,Coldplay,Parachutes,spotify:track:0qksx8mV28lztYIZ1om8ml,,,,trackdone,trackdone,true,,false,1640800616422,false
2021-12-29T18:05:31Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",208066,BR,177.51.2.168,unknown,Corpo,Emerald Hill,Corpo,spotify:track:168tliKKPtKFg5zvMzGkDt,,,,trackdone,trackdone,true,,false,1640800921066,false
2021-12-29T18:08:56Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",1728,BR,177.51.2.168,unknown,All the Good Ones,Weezer,Van Weezer,spotify:track:5jbF98Etpr6mBTwEZ5efyW,,,,fwdbtn,fwdbtn,true,,false,1640801279705,false
2021-12-29T18:08:56Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",65910,BR,177.51.2.168,unknown,Harness Your Hopes - B-side,Pavement,Brighten the Corners: Nicene Creedence Ed.,spotify:track:4vsoWZcvtvSsE0OiVvDDvX,,,,trackdone,fwdbtn,true,,false,1640801129787,false
2021-12-29T18:08:56Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",0,BR,177.51.2.168,unknown,Robbers,The 1975,The 1975,spotify:track:73jVPicY2G9YHmzgjk69ae,,,,fwdbtn,fwdbtn,true,,false,1640801281580,false
2021-12-29T18:12:42Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",191268,BR,177.51.2.168,unknown,Solar Power,Lorde,Solar Power,spotify:track:7s2kWabRM60W9I61HpKg8C,,,,fwdbtn,endplay,true,,false,1640801283004,false
2021-12-29T18:12:45Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",1289,BR,177.51.2.168,unknown,"thank u, next",Ariana Grande,"thank u, next",spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,,,,playbtn,fwdbtn,true,,false,1640801560647,false
2021-12-29T18:12:46Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",1199,BR,177.51.2.168,unknown,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,Ordinary Man,spotify:track:3k4QmEFuzlnhgxT3qstcir,,,,fwdbtn,fwdbtn,true,,false,1640801562821,false
2021-12-29T18:12:48Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",0,BR,177.51.2.168,unknown,Hung Up,Madonna,Confessions on a Dance Floor,spotify:track:3850dYVgOFIXJh5U4BFEWH,,,,fwdbtn,fwdbtn,true,,false,1640801564347,false
2021-12-29T18:12:50Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",1468,BR,177.51.2.168,unknown,Crazy In Love (feat. Jay-Z),Beyoncé,Dangerously In Love,spotify:track:0TwBtDAWpkpM3srywFVOV5,,,,fwdbtn,fwdbtn,true,,false,1640801566125,false
2021-12-29T18:12:56Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",1811,BR,177.51.2.168,unknown,Bye Bye Bye,*NSYNC,No Strings Attached,spotify:track:62bOmKYxYg7dhrC6gH9vFn,,,,fwdbtn,endplay,true,,false,1640801568246,false
2021-12-29T18:13:00Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",3575,BR,177.51.2.168,unknown,Don't Cha,The Pussycat Dolls,PCD,spotify:track:0BxfFnk0YzONqvmrkO0QrB,,,,playbtn,endplay,false,,false,1640801574181,false
2021-12-29T18:17:13Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",247946,BR,187.115.177.146,unknown,Ayo Technology,50 Cent,Curtis,spotify:track:6kfQDanT6Buh4Wu73ghbav,,,,clickrow,trackdone,true,,false,1640801578537,false
2021-12-29T18:17:14Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",5647,BR,187.115.177.146,unknown,Side To Side,Ariana Grande,Dangerous Woman,spotify:track:44ONERBHALxftQNWq6dmyd,,,,trackdone,fwdbtn,true,,false,1640801825757,false
2021-12-29T18:17:16Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",1325,BR,187.115.177.146,unknown,Give It 2 Me,Madonna,Hard Candy,spotify:track:59qPP8coY8EWIQ9nQDThui,,,,fwdbtn,fwdbtn,true,,false,1640801832778,false
2021-12-29T18:17:17Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",674,BR,187.115.177.146,unknown,Crazy in Love (feat. Jay-Z),Beyoncé,Crazy In Love,spotify:track:3y4KY2HvTEkFLrkHfIPWAl,,,,fwdbtn,fwdbtn,true,,false,1640801834236,false
